name,product_link,goods_provider,price
"Amazon.com: Asus VP249QGR 23.8” Gaming Monitor 144Hz Full HD (1920 x 1080) IPS 1ms FreeSync Extreme Low Motion Blur Eye Care DisplayPort HDMI VGA,BLACK $159.99",/f/14760292-amazon-com-asus-vp249qgr-23-8-gaming-monitor-144hz-full-hd-1920-x-1080-ips-1ms-freesync-extreme-low-motion-blur-eye-care-displayport-hdmi-vga-black-159-99?src=catpagev2,Amazon,$159.99
Backpacks on Clearance at Office Depot,/f/14759785-backpacks-on-clearance-at-office-depot?src=catpagev2,,$16.25
Super Flower Leadex Platinum SE 1000W 80+ Modular Power Supply,/f/14759251-super-flower-leadex-platinum-se-1000w-80-modular-power-supply-200-free-shipping?src=catpagev2,Newegg,$200
Nano Shield or Yarkor HD 1080p USB Web Cameras,/f/14758513-nano-shield-or-yarkor-hd-1080p-usb-web-cameras-10-each-more-free-shipping?src=catpagev2,Amazon,$10 each
HUANUO Dual Monitor Mount Stand AND Single Monitor Mount Stand Gas Spring $46.98+Tax,/f/14759749-huanuo-dual-monitor-mount-stand-and-single-monitor-mount-stand-gas-spring-46-98-tax?src=catpagev2,Amazon,$46.98
Multi-Angle Adjustable Aluminum Notebook Stand $9.99 AC + FSSS or Free shipping with Prime,/f/14758528-multi-angle-adjustable-aluminum-notebook-stand-9-99-ac-fsss-or-free-shipping-with-prime?src=catpagev2,Amazon,$9.99
"Lenovo Yoga C940 2-in-1 14"" Touch-Screen Laptop Intel Core i7 12GB Memory 512GB Solid State Drive Iron Gray 81Q9002GUS - $949.99",/f/14759215-lenovo-yoga-c940-2-in-1-14-touch-screen-laptop-intel-core-i7-12gb-memory-512gb-solid-state-drive-iron-gray-81q9002gus-949-99?src=catpagev2,Best Buy,$949.99
Wired PC Mouse USB Backlit RGB Mice 3200DPI for Notebook Laptop Computer Desktop $6.59,/f/14759632-wired-pc-mouse-usb-backlit-rgb-mice-3200dpi-for-notebook-laptop-computer-desktop-6-59?src=catpagev2,Amazon,$6.59
ADATA SD600Q 480GB USB 3.2 Portable SSD (+$5GC)@Newegg $50,/f/14760181-adata-sd600q-480gb-usb-3-2-portable-ssd-5gc-newegg-50?src=catpagev2,Newegg,$49.99
WD Gold 6TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 256MB Cache 3.5 Inch - $194.99,/f/14760151-wd-gold-6tb-enterprise-class-hard-disk-drive-7200-rpm-class-sata-6gb-s-256mb-cache-3-5-inch-194-99?src=catpagev2,Newegg,$194.99
12TB WD Easystore External USB 3.0 Hard Drive $190,/f/14760094-12tb-wd-easystore-external-usb-3-0-hard-drive-190?src=catpagev2,Best Buy,$189.99
"Multi-Device Bluetooth Keyboard Re-chargable 50% off, Jelly Comb $18",/f/14759998-multi-device-bluetooth-keyboard-re-chargable-50-off-jelly-comb-18?src=catpagev2,Amazon,$18
"ABS Master Gaming Desktop: Ryzen 5 3600X, 16GB DDR4 3000, 512GB SSD, RTX 3060 Ti, B450M Motherboard, 600W PSU, WiFi AC, Win10H @ $1313 including Shipping",/f/14758504-abs-master-gaming-desktop-ryzen-5-3600x-16gb-ddr4-3000-512gb-ssd-rtx-3060-ti-b450m-motherboard-600w-psu-wifi-ac-win10h-1313-including-shipping?src=catpagev2,Newegg,"$1,299.99"
15-Month Microsoft 365 Family (6-Users) + Norton 360 Antivirus (1-Device),/f/14758072-microsoft-365-family-15-month-subscription-6-people-download-norton-360-standard-antivirus-software-1-device-digital-download-74-99-ac-fs?src=catpagev2,Newegg,$75
SanDisk - Ultra 500GB Internal PCI Express 3.0 x4 (NVMe) Solid State Drive $55,/f/14759293-sandisk-ultra-500gb-internal-pci-express-3-0-x4-nvme-solid-state-drive-55?src=catpagev2,Best Buy,$55
TerraMaster F2-210 2-Bay NAS Media Server Personal Cloud - $119,/f/14758756-terramaster-f2-210-2-bay-nas-media-server-personal-cloud-119?src=catpagev2,Newegg,$119
Logitech MX Master 2S Wireless Laser Mouse (Graphite),/f/14757214-logitech-mx-master-2s-wireless-laser-mouse-original-price-99-after-rebate-59-99-coupon-49-99-with-free-shipping?src=catpagev2,,$50
YMMV - Intel Core i9-10850K 3.6 GHz 10-Core LGA 1200 Processor With Crysis Game $386.99 With Free Shipping @ Newegg.com (NO GUEST CHECKOUT),/f/14757931-ymmv-intel-core-i9-10850k-3-6-ghz-10-core-lga-1200-processor-with-crysis-game-386-99-with-free-shipping-newegg-com-no-guest-checkout?src=catpagev2,Newegg,$386.99
Intel 665p Series M.2 2280 1TB QLC SSD for $89.99,/f/14757826-intel-665p-series-m-2-2280-1tb-qlc-ssd-for-89-99?src=catpagev2,Newegg,$89.99
Inland Professional 1TB SSD 3D NAND SATA III Internal SSD MicroCenter $85 $84.99,/f/14758720-inland-professional-1tb-ssd-3d-nand-sata-iii-internal-ssd-microcenter-85-84-99?src=catpagev2,,$84.99
"CyberpowerPC Gaming Desktop: i7-10700KF, 16GB DDR4 3000, 240mm AIO Cooler, RGB Case, Asus Z490, 1TB PCIe SSD, RTX 3070, 750W Gold Moduler PSU, Win10 @ $1592.20 + F/S",/f/14758027-cyberpowerpc-gaming-desktop-i7-10700kf-16gb-ddr4-3000-240mm-aio-cooler-rgb-case-asus-z490-1tb-pcie-ssd-rtx-3070-750w-gold-moduler-psu-win10-1592-20-f-s?src=catpagev2,,"$1,592.20"
"Ematic FunTab Pro 7"" Kids Tablet with 8GB Memory $29.99",/f/14758648-ematic-funtab-pro-7-kids-tablet-with-8gb-memory-29-99?src=catpagev2,Walmart,$29.99
"Lenovo - Q27q-10 27"" IPS LED QHD FreeSync Monitor (DisplayPort, HDMI) - Black $200",/f/14758003-lenovo-q27q-10-27-ips-led-qhd-freesync-monitor-displayport-hdmi-black-200?src=catpagev2,Best Buy,$199.99
1TB WD BLACK SN750 NVMe SSD @Newegg $123,/f/14758210-1tb-wd-black-sn750-nvme-ssd-newegg-123?src=catpagev2,Newegg,$122.99
"Crucial P1 2TB 3D NAND NVMe PCIe Internal SSD, up to 2000 MB/s - CT2000P1SSD8 $209.99",/f/14758426-crucial-p1-2tb-3d-nand-nvme-pcie-internal-ssd-up-to-2000-mb-s-ct2000p1ssd8-209-99?src=catpagev2,Newegg,$209.99
"Western Digital WD BLACK SN750 NVMe M.2 2280 500GB PCI-Express 3.0 x4 64-layer 3D NAND Internal Solid State Drive (SSD) WDS500G3X0C(1,413) $62.99",/f/14758375-western-digital-wd-black-sn750-nvme-m-2-2280-500gb-pci-express-3-0-x4-64-layer-3d-nand-internal-solid-state-drive-ssd-wds500g3x0c-1-413-62-99?src=catpagev2,Newegg,$62.99
INTEL NUC Kit NUC8i5BEH (BEAN CANYON) $274.49,/f/14756614-intel-nuc-kit-nuc8i5beh-bean-canyon-274-49?src=catpagev2,Walmart,$274.49
850W Rosewill CAPSTONE 850M 80Plus Gold Modular Power Supply $95,/f/14758195-850w-rosewill-capstone-850m-80plus-gold-modular-power-supply-95?src=catpagev2,Newegg,$95
